Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
France,FRA,2006,289519,734933,734933,768439,660698,720086,660698,,616156
French Guiana,GUF,2006,,,,6123,,,,,
French Polynesia,PYF,2006,,,,4599,,,,,
Gabon,GAB,2006,23174,20055,19609,46724,24511,,,,41001
Gambia,GMB,2006,61687,61687,61038,64328,57791,61687,,,62986
Georgia,GEO,2006,40162,42075,42553,50121,45900,,45900,,45421
Germany,DEU,2006,602741,665094,651238,705244,665094,644310,665094,,
Ghana,GHA,2006,609543,609543,609543,743301,616799,609543,,,718390
Gibraltar,GIB,2006,,,,390,,,,,
Greece,GRC,2006,99754,103999,103999,107516,103999,89142,103999,,
Greenland,GRL,2006,,,,854,,,,,
Grenada,GRD,2006,1694,1694,1694,1828,1824,1694,1824,,
Guadeloupe,GLP,2006,,,,6354,,,,,
Guam,GUM,2006,,,,3277,,,,,
Guatemala,GTM,2006,343628,343628,347489,389905,366794,343628,366794,,370655
Guernsey,GGY,2006,,,,614,,,,,
Guinea,GIN,2006,,186204,173137,352995,166604,,,,264606
Guinea-Bissau,GNB,2006,,35892,37408,52855,37408,,,,45497
Guyana,GUY,2006,15694,15694,15525,15918,15188,15694,15188,,16200
Haiti,HTI,2006,,151932,149482,251417,144581,,,,183789
High-income countries,,2006,,,,13176352,,,,,
Honduras,HND,2006,203590,205756,203590,215994,205756,203590,205756,,210087
Hong Kong,HKG,2006,,,,45504,,,,,
Hungary,HUN,2006,,94926,94926,97681,94926,94926,94926,,94926
Iceland,ISL,2006,,4200,4200,4377,4114,4200,4114,,
India,IND,2006,1569778,17005928,17267558,26664326,18052447,,,,22500151
Indonesia,IDN,2006,2996359,3268755,3541152,4739493,3586551,,,,3995145
Iran,IRN,2006,1079111,1079111,1090123,1186658,1090123,,1090123,,1090123
Iraq,IRQ,2006,542686,542686,579478,936355,570280,,478299,,818627
Ireland,IRL,2006,,54983,54983,62943,51962,54983,51962,,18731
Isle of Man,IMN,2006,,,,870,,,,,
Israel,ISR,2006,131656,130285,128913,140109,131656,128913,131656,,
Italy,ITA,2006,533737,533737,539297,555749,489259,533737,489259,,
Jamaica,JAM,2006,46146,45194,47097,47806,41389,46146,41389,,42816
Japan,JPN,2006,,1059178,1026754,1084877,1048370,,1048370,,
Jersey,JEY,2006,,,,1007,,,,,
Jordan,JOR,2006,161276,161276,161276,170669,162921,161276,144819,,156339
Kazakhstan,KAZ,2006,274647,274647,274647,313464,274647,,274647,,274647
Kenya,KEN,2006,1029493,1029493,990887,1351296,990887,1029493,,,1183917
Kiribati,KIR,2006,2330,2277,2277,2807,1615,,1615,,2410
Kosovo,OWID_KOS,2006,,,,31781,,,,,
Kuwait,KWT,2006,42074,42074,42074,48903,42074,42074,42074,,35699
Kyrgyzstan,KGZ,2006,101694,103954,105083,118688,109603,,109603,,111863
Land-locked developing countries (LLDC),,2006,,,,13343770,,,,,
Laos,LAO,2006,88742,88742,87185,161067,74730,,,,94970
Latin America and the Caribbean (UN),,2006,,,,10806769,,,,,
Latvia,LVA,2006,19011,19415,19415,22056,19820,19415,19820,,19213
Least developed countries,,2006,,,,26942246,,,,,
Lebanon,LBN,2006,65155,65155,62649,86233,57637,65155,37589,,
Lesotho,LSO,2006,46864,45834,45319,52062,42229,,,,48924
Less developed regions,,2006,,,,119720712,,,,,
"Less developed regions, excluding China",,2006,,,,103022088,,,,,
"Less developed regions, excluding least developed countries",,2006,,,,92778464,,,,,
Liberia,LBR,2006,,73835,81218,132662,77527,,,,94755
Libya,LBY,2006,132379,132379,132379,139286,132379,,132379,,133730
Liechtenstein,LIE,2006,,,,364,,,,,
Lithuania,LTU,2006,27894,27600,27600,28998,28481,27600,28481,,29068
Low-income countries,,2006,,,,17645696,,,,,
Lower-middle-income countries,,2006,,,,63885680,,,,,
Luxembourg,LUX,2006,5236,5457,5457,5431,5236,5402,5236,,
Macao,MAC,2006,,,,4380,,,,,
Madagascar,MDG,2006,544313,564227,550951,710913,471295,,,,630606
Malawi,MWI,2006,511217,511217,511217,539297,438924,511217,,,511217
Malaysia,MYS,2006,495329,495329,495329,519557,495329,464045,495329,,510971
Maldives,MDV,2006,5536,5536,5536,5805,5480,,,,5593
Mali,MLI,2006,501660,434772,440346,615216,379032,89184,,,479364
Malta,MLT,2006,3252,3214,3138,3974,3554,3138,3554,,
Marshall Islands,MHL,2006,1522,1161,1491,1577,1506,941,1506,,1443
Martinique,MTQ,2006,,,,5393,,,,,
Mauritania,MRT,2006,69247,69247,69247,109925,63137,,,,87577
Mauritius,MUS,2006,18655,18655,18847,17596,19040,18463,19040,,18655
Mayotte,MYT,2006,,,,6662,,,,,
Mexico,MEX,2006,2223235,2223235,2223235,2269789,2177863,2223235,2177863,,2245921
Micronesia (country),FSM,2006,2269,1810,2188,2728,2242,1594,2242,,1486
Moldova,MDA,2006,47872,47384,47872,49242,46895,,46895,,48361
Monaco,MCO,2006,276,276,276,280,262,276,262,,248
Mongolia,MNG,2006,47875,48363,47875,52764,48363,27357,,,47875
Montenegro,MNE,2006,7291,7291,7291,7973,7291,7291,7291,,7939
Montserrat,MSR,2006,,,,51,,,,,
More developed regions,,2006,,,,13451746,,,,,
Morocco,MAR,2006,594312,606824,606824,647762,594312,,575545,,594312
Mozambique,MOZ,2006,565911,588547,550820,791862,573456,,,,679093
Myanmar,MMR,2006,717163,784098,784098,941187,745849,,,,812784
Namibia,NAM,2006,,45727,39347,56183,33498,,,,46790
Nauru,NRU,2006,276,201,251,288,276,,271,,276
Nepal,NPL,2006,455889,588031,601245,644631,561603,,,,614459
Netherlands,NLD,2006,,181835,181835,187684,181835,181835,181835,,
New Caledonia,NCL,2006,,,,4392,,,,,
New Zealand,NZL,2006,50292,51448,51448,59512,47402,46246,47402,,
Nicaragua,NIC,2006,117601,117601,117601,134337,132302,117601,132302,,130965
Niger,NER,2006,,317156,323374,674159,329593,,,,429093
Nigeria,NGA,2006,1443608,2138679,2459481,5954159,2352547,,,,2780283
Niue,NIU,2006,37,37,37,35,37,37,37,,37
North Korea,PRK,2006,331805,307611,338717,333714,331805,,,,331805
North Macedonia,MKD,2006,20490,21411,21181,23677,21642,,21642,,21181
Northern America (UN),,2006,,,,4451453,,,,,
Northern Mariana Islands,MNP,2006,,,,1056,,,,,
Norway,NOR,2006,,54276,54276,57852,53121,54853,53121,,
Oceania (UN),,2006,,,,613694,,,,,
Oman,OMN,2006,54568,54017,54017,55976,52914,54017,52914,,54568
Pakistan,PAK,2006,3148394,3095921,3043447,5531455,3095921,,,,4040439
Palau,PLW,2006,268,268,268,268,268,268,268,,
Palestine,PSE,2006,116805,115601,116805,124037,119214,,110785,,119214
Panama,PAN,2006,63586,63586,70812,72352,68644,63586,68644,59251,70812
Papua New Guinea,PNG,2006,140943,138958,129032,208726,162779,,,,178660
Paraguay,PRY,2006,117950,125642,125642,125675,116667,117950,116667,,126924
Peru,PER,2006,573943,573943,573943,605105,567838,573943,567838,,586155
Philippines,PHL,2006,1718375,1963857,1963857,2364280,2053124,,,,2030807
Poland,POL,2006,358897,362559,362559,367325,362559,113529,362559,,344248
Portugal,PRT,2006,105097,105097,105097,107019,105097,105097,105097,,107264
Puerto Rico,PRI,2006,,,,46760,,,,,
Qatar,QAT,2006,12890,12890,12756,14232,13293,12890,13293,,13293
Reunion,REU,2006,,,,15162,,,,,
Romania,ROU,2006,208281,204073,204073,211945,199866,,199866,,208281
Russia,RUS,2006,1436090,1436090,1436090,1465374,1450744,,1450744,,1421436
Rwanda,RWA,2006,317745,317745,317745,342753,304907,317745,,,314536
Saint Barthelemy,BLM,2006,,,,87,,,,,
Saint Helena,SHN,2006,,,,48,,,,,
Saint Kitts and Nevis,KNA,2006,706,706,706,723,706,706,706,,706
Saint Lucia,LCA,2006,2131,2131,2131,2526,2357,2131,2357,,2357
Saint Martin (French part),MAF,2006,,,,685,,,,,
Saint Pierre and Miquelon,SPM,2006,,,,53,,,,,
Saint Vincent and the Grenadines,VCT,2006,1844,1844,1844,1849,1844,1844,1844,,1844
Samoa,WSM,2006,2475,2690,2636,5335,2905,,2905,,4519
San Marino,SMR,2006,329,329,326,313,322,326,322,,
Sao Tome and Principe,STP,2006,4284,5541,5541,5962,4855,,,,5598
Saudi Arabia,SAU,2006,529741,529741,529741,484993,524223,529741,524223,,524223
Senegal,SEN,2006,347635,347635,347635,409808,312481,347635,,,367165
Serbia,SRB,2006,65073,64373,67872,70626,61574,29388,61574,,69271
Seychelles,SYC,2006,1503,1503,1503,1472,1503,,1503,,1503
Sierra Leone,SLE,2006,,129804,131832,211999,131832,,,,168340
Singapore,SGP,2006,39422,39422,39422,42029,39422,,39422,,40667
Sint Maarten (Dutch part),SXM,2006,,,,503,,,,,
Slovakia,SVK,2006,53289,53289,53289,53899,52750,53289,52750,,52750
Slovenia,SVN,2006,,18218,18218,18656,18030,18218,18030,,
Small island developing states (SIDS),,2006,,,,1237713,,,,,
Solomon Islands,SLB,2006,15616,15616,15616,16177,15616,,,,15616
Somalia,SOM,2006,,115687,115687,496692,155732,,,,177980
South Africa,ZAF,2006,826174,836128,786358,1096125,686819,836128,,,786358
South Korea,KOR,2006,444981,440486,440486,431045,444981,,444981,,440486
South Sudan,SSD,2006,,,,322216,,,,,
Spain,ESP,2006,453558,458234,458234,474149,453558,458234,453558,,
Sri Lanka,LKA,2006,350701,350701,350701,367094,354279,,354279,,354279
Sudan,SDN,2006,589855,766812,756981,1186098,717657,,,,756981
Suriname,SUR,2006,9432,9432,9432,11074,9320,9432,9320,,
Sweden,SWE,2006,,100543,100543,103918,99517,100543,99517,,21545
Switzerland,CHE,2006,,68642,68642,72793,63530,67911,63530,,
Syria,SYR,2006,460820,444164,460820,546625,449716,444164,449716,,505237
Taiwan,TWN,2006,,,,193557,,,,,
Tajikistan,TJK,2006,164740,155380,142276,196786,153508,,,,174101
Tanzania,TZA,2006,1367591,1367591,1382787,1561734,1413178,,,,1367591
Thailand,THA,2006,787139,803537,803537,876650,787139,,787139,,811737
Togo,TGO,2006,,165141,167107,211441,153345,,,,188732
Tokelau,TKL,2006,,,,29,,,,,
Tonga,TON,2006,2909,2909,2909,3002,2909,2909,2909,,2909
Trinidad and Tobago,TTO,2006,17606,18199,17606,19033,17606,17606,17606,,
Tunisia,TUN,2006,169759,169759,169759,171843,168045,,,,169759
Turkey,TUR,2006,1033119,1133911,1133911,1271939,1234703,,1234703,,1108713
Turkmenistan,TKM,2006,100524,100524,100524,114075,101549,,,,101549
Turks and Caicos Islands,TCA,2006,,,,431,,,,,
Tuvalu,TUV,2006,222,222,222,237,192,,192,,227
Uganda,UGA,2006,753338,753338,729796,1226239,882818,753338,,,976985
Ukraine,UKR,2006,405334,413779,418001,442818,413779,46445,413779,,409556
United Arab Emirates,ARE,2006,56259,56259,57482,61257,56259,56259,56259,,59928
United Kingdom,GBR,2006,,657708,657708,747718,607665,657708,607665,,
United States,USA,2006,3745682,3866510,3745682,4100203,3705406,3745682,3705406,,
United States Virgin Islands,VIR,2006,,,,1605,,,,,
Upper-middle-income countries,,2006,,,,37857832,,,,,
Uruguay,URY,2006,46685,46685,46685,48464,46193,46685,46193,,48651
Uzbekistan,UZB,2006,514982,504472,493962,531481,514982,,514982,,520237
Vanuatu,VUT,2006,3934,4534,4468,6548,3467,,,,5401
Vatican,VAT,2006,,,,3,,,,,
Venezuela,VEN,2006,414499,414499,426175,591978,478717,414499,478717,75894,484555
Vietnam,VNM,2006,1331229,1345543,1345543,1399740,1331229,,,,1359858
Wallis and Futuna,WLF,2006,,,,240,,,,,
Western Sahara,ESH,2006,,,,7392,,,,,
World,OWID_WRL,2006,74633477,100369158,101655942,133172456,101655942,27022466,32169602,1286784,110663431
Yemen,YEM,2006,587284,587284,587284,849532,489403,549637,,,504462
Zambia,ZMB,2006,377425,377425,386744,497092,396063,377425,,,428680
Zimbabwe,ZWE,2006,270605,278564,282544,424697,270605,,,,334277
Afghanistan,AFG,2007,645329,645329,645329,1050604,563382,,,,614599
Africa (UN),,2007,,,,35097156,,,,,
Albania,ALB,2007,36574,36574,36947,37658,36200,,36200,,36574
Algeria,DZA,2007,623829,658486,658486,743003,637692,,,,686212
American Samoa,ASM,2007,,,,1333,,,,,
Americas (UN),,2007,,,,15285843,,,,,
Andorra,AND,2007,702,740,740,600,725,732,725,,
Angola,AGO,2007,354980,396257,354980,873777,478810,354980,,,619151
Anguilla,AIA,2007,,,,198,,,,,
Antigua and Barbuda,ATG,2007,1211,1236,1223,1254,1236,1236,1236,,
Argentina,ARG,2007,600141,642504,649564,709585,663685,642504,663685,,698988
Armenia,ARM,2007,31359,32466,33204,40785,33942,,33942,,34679
Aruba,ABW,2007,,,,1252,,,,,
Asia (UN),,2007,,,,75869352,,,,,
Australia,AUS,2007,254759,249338,249338,283132,254759,254759,254759,,
Austria,AUT,2007,67493,67493,67493,76585,62729,67493,62729,,
Azerbaijan,AZE,2007,93631,119303,122324,158506,113263,,113263,,132895
Bahamas,BHS,2007,5845,5971,5971,5606,6034,5971,6034,,
Bahrain,BHR,2007,17118,17118,17118,17647,17471,17118,17471,,
Bangladesh,BGD,2007,3197780,3164119,3231441,3513626,2995815,,,,3298762
Barbados,BRB,2007,3261,3261,3261,3652,2630,3261,2630,,
Belarus,BLR,2007,87356,91196,86396,99175,95036,,95036,,94076
Belgium,BEL,2007,114874,119762,120984,122505,112430,119762,112430,,
Belize,BLZ,2007,7251,7251,7326,7531,7251,7251,7251,,7477
Benin,BEN,2007,254638,254638,254638,343137,217374,254638,,,301218
Bermuda,BMU,2007,,,,712,,,,,
Bhutan,BTN,2007,13079,13079,12803,13246,13079,,13079,,12941
Bolivia,BOL,2007,207229,207229,209696,249039,212163,207229,212163,,214630
Bonaire Sint Eustatius and Saba,BES,2007,,,,237,,,,,
Bosnia and Herzegovina,BIH,2007,35228,35603,35603,37528,35978,31106,35978,,36727
Botswana,BWA,2007,48138,49691,49691,51458,49173,,,,51243
Brazil,BRA,2007,3109467,3109467,3109467,3033066,3109467,3078058,3109467,2512701,3109467
British Virgin Islands,VGB,2007,,,,385,,,,,
Brunei,BRN,2007,6493,6627,6359,5925,6493,6627,6493,,6426
Bulgaria,BGR,2007,70538,70538,70538,73530,71281,,71281,,72766
Burkina Faso,BFA,2007,504146,504146,526804,606805,532469,504146,,,560791
Burundi,BDI,2007,316733,316733,297537,354298,281540,316733,,,310334
Cambodia,KHM,2007,260539,260539,260539,342887,251007,,,,285958
Cameroon,CMR,2007,536554,536554,530011,689741,484207,,,,582357
Canada,CAN,2007,49208,330397,347971,361872,330397,326882,330397,,
Cape Verde,CPV,2007,10710,10933,10933,11018,10598,,,,11044
Cayman Islands,CYM,2007,,,,734,,,,,
Central African Republic,CAF,2007,,76823,73622,173387,94428,,,,118436
Chad,TCD,2007,,127261,172711,510784,140896,,,,199981
Chile,CHL,2007,210356,219502,217216,232504,210356,219502,210356,,224075
China,CHN,2007,15145345,15309969,15474592,16765428,15474592,,,,15474592
Colombia,COL,2007,741806,741806,733914,794654,749697,741806,749697,,733914
Comoros,COM,2007,14338,14338,14338,19841,12426,,,,14720
Congo,COG,2007,84593,95167,93846,139970,77984,,,,113672
Cook Islands,COK,2007,313,313,313,309,310,,310,,313
Costa Rica,CRI,2007,64827,64827,64827,71353,65555,64098,65555,,72111
Cote d'Ivoire,CIV,2007,539936,539936,532832,804715,475996,,,,667815
Croatia,HRV,2007,40751,41618,41618,40944,41618,41618,41618,,42918
Cuba,CUB,2007,115145,115145,122574,124184,120098,120098,120098,,122574
Curacao,CUW,2007,,,,2032,,,,,
Cyprus,CYP,2007,11448,11941,11941,12415,10710,11079,10710,,
Czechia,CZE,2007,103306,103306,103306,110390,102263,103306,102263,,103306
Democratic Republic of Congo,COD,2007,1506153,1506153,1482982,2548606,1482982,,,,1761041
Denmark,DNK,2007,,56924,56924,64808,58233,56924,58233,,
Djibouti,DJI,2007,5854,20604,20604,23964,17326,5854,,,21073
Dominica,DMA,2007,975,1006,975,1021,1006,975,1006,,943
Dominican Republic,DOM,2007,160019,167921,169896,199563,161994,138288,161994,,181750
East Timor,TLS,2007,,23165,23165,33303,20849,,,,24489
Ecuador,ECU,2007,294690,300960,297825,318375,307230,297825,307230,,310365
Egypt,EGY,2007,1968499,1968499,1968499,2175859,1948412,,1948412,,1968499
El Salvador,SLV,2007,115716,115716,115716,119356,115716,115716,115716,91170,115716
Equatorial Guinea,GNQ,2007,,15737,18032,37810,15081,,,,23605
Eritrea,ERI,2007,93843,93843,93843,92814,90879,,,,97794
Estonia,EST,2007,13852,13852,13852,15275,13998,13852,13998,,14289
Eswatini,SWZ,2007,28340,26799,27108,32898,28956,,,,29264
Ethiopia,ETH,2007,1391260,1480064,1805678,3157253,1450463,1391260,,,2042488
Europe (UN),,2007,,,,7734140,,,,,
Falkland Islands,FLK,2007,,,,38,,,,,
Faroe Islands,FRO,2007,,,,692,,,,,
Fiji,FJI,2007,20247,20247,20247,20906,19225,20247,19225,,20247
Finland,FIN,2007,,57992,56821,58853,57406,56821,57406,,
France,FRA,2007,316869,746906,746906,771516,679005,731816,679005,,588471
French Guiana,GUF,2007,,,,6216,,,,,
French Polynesia,PYF,2007,,,,4585,,,,,
Gabon,GAB,2007,34425,37179,35802,48169,28458,,,,42228
Gambia,GMB,2007,65190,63846,63174,66170,59141,63174,,,65190
Georgia,GEO,2007,45503,47439,42598,51851,46955,,46955,,46471
Germany,DEU,2007,583671,651540,644753,682960,658326,637966,658326,,
Ghana,GHA,2007,697349,697349,697349,750455,704768,697349,,,734442
Gibraltar,GIB,2007,,,,380,,,,,
Greece,GRC,2007,102020,106315,106315,108417,106315,89133,106315,,
Greenland,GRL,2007,,,,845,,,,,
Grenada,GRD,2007,1813,1813,1813,1823,1851,1813,1851,,
Guadeloupe,GLP,2007,,,,6178,,,,,
Guam,GUM,2007,,,,3305,,,,,
Guatemala,GTM,2007,326374,326374,326374,389861,330213,326374,330213,,337893
Guernsey,GGY,2007,,,,616,,,,,
Guinea,GIN,2007,190358,210395,153622,360498,190358,,,,280527
Guinea-Bissau,GNB,2007,,38240,39273,53952,37723,,,,47541
Guyana,GUY,2007,15567,15567,15567,15966,15899,15567,15899,,16064
Haiti,HTI,2007,,157592,152668,253246,147743,,,,192066
High-income countries,,2007,,,,13390003,,,,,
Honduras,HND,2007,200608,202766,202766,215584,202766,200608,202766,,213551
Hong Kong,HKG,2007,,,,54187,,,,,
Hungary,HUN,2007,,97364,97364,97567,97364,97364,97364,,97364
Iceland,ISL,2007,,4300,4300,4513,4211,4300,4211,,
India,IND,2007,1548986,16522518,17297011,26335410,18071504,,,,22460298
Indonesia,IDN,2007,3509474,3370942,3555651,4801586,3509474,,,,3832715
Iran,IRN,2007,1099725,1122400,1111062,1241178,1099725,,1099725,,1122400
Iraq,IRQ,2007,505626,514655,668148,929999,577858,,577858,,830671
Ireland,IRL,2007,,57407,57407,67729,54287,57407,54287,,20592
Isle of Man,IMN,2007,,,,911,,,,,
Israel,ISR,2007,137648,132086,132086,143777,134867,132086,134867,,
Italy,ITA,2007,539764,539764,539764,560593,500812,534200,500812,,
Jamaica,JAM,2007,43441,43441,44385,46650,35886,42968,35886,,41080
Japan,JPN,2007,,1056877,1046093,1092717,1035308,,1035308,,1013739
Jersey,JEY,2007,,,,1014,,,,,
Jordan,JOR,2007,171735,171735,171735,184572,166478,171735,169983,,157716
Kazakhstan,KAZ,2007,278981,276013,278981,333483,293820,,293820,,293820
Kenya,KEN,2007,1070841,1070841,1004740,1386311,1057621,1070841,,,1216264
Kiribati,KIR,2007,2619,2564,2537,2922,2537,,2537,,2455
Kosovo,OWID_KOS,2007,,,,31235,,,,,
Kuwait,KWT,2007,47784,47784,47784,51516,47784,47784,47784,,45371
Kyrgyzstan,KGZ,2007,110443,110443,110443,122824,116318,,116318,,115143
Land-locked developing countries (LLDC),,2007,,,,13583158,,,,,
Laos,LAO,2007,78927,78927,72613,161731,63142,,,,88398
Latin America and the Caribbean (UN),,2007,,,,10734014,,,,,
Latvia,LVA,2007,19287,19923,19923,23037,20135,19923,20135,,20135
Least developed countries,,2007,,,,27311778,,,,,
Lebanon,LBN,2007,66573,66573,62412,86377,61580,66573,61580,,
Lesotho,LSO,2007,46237,45209,44695,53197,41613,,,,48805
Less developed regions,,2007,,,,120896000,,,,,
"Less developed regions, excluding China",,2007,,,,103879872,,,,,
"Less developed regions, excluding least developed countries",,2007,,,,93584216,,,,,
Liberia,LBR,2007,,84516,87117,139092,92318,,,,100119
Libya,LBY,2007,135197,135197,135197,141815,135197,77255,135197,,136576
Liechtenstein,LIE,2007,,,,359,,,,,
Lithuania,LTU,2007,28311,28016,28016,29288,28606,28016,28606,,29196
Low-income countries,,2007,,,,18033926,,,,,
Lower-middle-income countries,,2007,,,,64327936,,,,,
Luxembourg,LUX,2007,4819,5484,5317,5489,5317,5484,5317,,
Macao,MAC,2007,,,,4673,,,,,
Madagascar,MDG,2007,571620,571620,564815,726386,551205,,,,639670
Malawi,MWI,2007,461547,461547,466852,551718,440327,461547,,,503988
Malaysia,MYS,2007,499944,505152,505152,516736,494736,468698,494736,,515567
Maldives,MDV,2007,5731,5731,5731,5984,5673,,3275,,5731
Mali,MLI,2007,426630,426630,438161,633114,380508,253672,,,495813
Malta,MLT,2007,3091,2790,2865,4006,2978,2714,2978,,
Marshall Islands,MHL,2007,1458,1458,1427,1549,1474,1301,1474,,1443
Martinique,MTQ,2007,,,,5426,,,,,
Mauritania,MRT,2007,77507,78554,78554,113853,70175,,,,96360
Mauritius,MUS,2007,17804,17804,17621,16787,17988,17621,17988,,17988
Mayotte,MYT,2007,,,,7015,,,,,
Mexico,MEX,2007,2210738,2210738,2210738,2261485,2165621,2210738,2165621,,2233296
Micronesia (country),FSM,2007,2356,2068,2068,2627,2409,2068,2409,,2147
Moldova,MDA,2007,46606,45134,45625,47917,47097,,47097,,48078
Monaco,MCO,2007,248,248,248,243,238,248,238,,222
Mongolia,MNG,2007,49631,48112,50138,55103,49631,39502,,,50138
Montenegro,MNE,2007,7052,7209,7209,7909,7052,6974,7052,,7679
Montserrat,MSR,2007,,,,53,,,,,
More developed regions,,2007,,,,13723762,,,,,
Morocco,MAR,2007,600771,600771,600771,658855,600771,575476,581800,,607095
Mozambique,MOZ,2007,577364,577364,577364,812266,577364,,,,692837
Myanmar,MMR,2007,802743,812187,793299,935566,764966,,,,840519
Namibia,NAM,2007,,46416,43717,57643,37241,,,,51273
Nauru,NRU,2007,280,280,280,296,280,,280,,280
Nepal,NPL,2007,526791,526791,526791,632058,520367,,,,571761
Netherlands,NLD,2007,,180003,180003,184452,178147,180003,178147,,
New Caledonia,NCL,2007,,,,4396,,,,,
New Zealand,NZL,2007,52217,52217,52217,61944,46877,46284,46877,,
Nicaragua,NIC,2007,124347,124347,124347,134804,132369,124347,132369,88246,131032
Niger,NER,2007,,366349,366349,694798,385630,,,,469183
Nigeria,NGA,2007,2308074,2308074,2967524,6094662,2253120,,,,2912570
Niue,NIU,2007,38,38,38,34,38,38,38,,38
North Korea,PRK,2007,310889,310889,334544,334954,334544,,,,324406
North Macedonia,MKD,2007,21689,21463,21689,24043,21689,,21689,,21463
Northern America (UN),,2007,,,,4551828,,,,,
Northern Mariana Islands,MNP,2007,,,,1021,,,,,
Norway,NOR,2007,,54528,54528,58678,53941,55700,53941,,
Oceania (UN),,2007,,,,633266,,,,,
Oman,OMN,2007,55106,55106,53993,57242,53993,55106,53993,,55106
Pakistan,PAK,2007,2851848,2851848,2851848,5716382,3010284,,,,4066524
Palau,PLW,2007,248,256,256,261,248,258,248,,
